,cnt,joYear,country_eng_nm,country_iso_alp2,currency_unit,export_amount,gdp,gdp_desc,gdp_growth_rate,gdp_growth_rate_desc,gdp_per_capita,gdp_per_capita_desc,import_amount,inflation_rate,inflation_rate_desc,main_resource,major_industry,unemployment_desc,unemployment_rate
일본,578,2022,Japan,JP,엔(円·yen),751500000000,4231100000000,"(2022, World Bank)",1.0,"(2022, World Bank)",33815,"(2022, World Bank)",902600000000,2.5,(2022 World Bank),,,(2022 World Bank),2.6
베트남,212,2022,Vietnam,VN,동,360300000000,406450000000,(2022년 기준 IMF),,,4087,(2022년 기준 IMF 추정치),351900000000,3.19,"(2022년 기준, IMF)",,,"(2022년 기준, IMF 추정치)",2.3
중국,169,2022,China,CN,"元(1$ = 약 6.9646元, '22.12. 인민은행)",,17963200000000,(World Bank),3.0,(국가통계국),12720,(World Bank),,3.0,,,"1차 7.3%, 2차 39.9%, 3차 52.8%(국가통계국)",,5.6
싱가포르,158,2022,Singapore,SG,"싱가포르달러(1미국달러 = 1.38 싱가포르달러, 2022 평균, 세계은행)",516000000000,466800000000,"(2022, IMF)",3.6,"(2022, IMF)",82808,"(2022, IMF)",475800000000,6.1,"(2022, IMF)",,,"(2022, IMF)",2.1
말레이시아,134,2022,Malaysia,MY,"링깃(1달러 = 4.4링깃, 2022년 평균, 세계은행)",352300000000,407900000000,"(2022, IMF 추정치)",8.7,"(2022, IMF 추정치)",12634,"(2022, IMF 추정치)",295300000000,3.4,"(2022, IMF 추정치)",,,"(2022, IMF 추정치)",3.8
캐나다,124,2022,Canada,CA,,390100000000,1600000000000,(2020 IMF),,,43280,(2020 IMF),428500000000,,,,,,
독일,117,2022,Germany,DE,,1630000000000,4100000000000,(2022),1.9,(2022),49120,(2022),1510000000000,,,,,(2022),3.1
아랍에미리트,112,2022,United Arab Emirates : UAE,AE,UAE Dirham(AED)/1US$=3.67DH(고정환율),467000000000,589400000000,"(‘22, EIU)",7.3,"(‘22, EIU)",59006,"(‘22, EIU)",295500000000,,,"* ('22)
- 원유매장량 : 978억 배럴(세계 8위, 5.8% 점유)
- 가스매장량 : 7.8조 m³(세계 7위, 4% 점유)",,,
카타르,107,2022,Qatar,QA,"Qatari Riyal($1=QR 3.64)('23, EIU)",100300000000,219500000000,"('23, IMF)",2.4,"('23, IMF)",83890,"('23, IMF)",35000000000,,,"원유매장량(BP) :252억 배럴(세계 14위, 점유율: 1.5%)
가스매장량(BP) :24.7조㎥(세계 3위, 점유율: 13.1%)","석유, 천연가스, 석유화학",,
영국,102,2022,United Kingdom,GB,,459600000000,3131300000000,"(2021, WB)",,,46510,"(2021, WB)",664600000000,,,,,"(2021, WB)",4.5
호주,85,2022,Australia,AU,,533670000000,1007900000000,"(2022, IMF)",,,66410,"(2022, IMF)",373550000000,,,,"1차산업(농업, 광업) 및 3차 산업(금융, 서비스) 비중이 큰 전형적인 선진국형 산업구조
- 제조업 취약",,
인도네시아,75,2022,Indonesia,ID,"루피아(1달러 = 14,850루피아, 2022년 평균, 세계은행)",292300000000,1318800000000,"(2022, IMF)",5.3,"(2022, IMF)",4798,"(2022, IMF)",237200000000,4.2,"(2022, IMF)",,,"(2022, IMF)",5.9
뉴질랜드,52,2022,New Zealand,NZ,,48100000000,245400000000,('22. EIU),2.4,('22. EIU),47198,('22. EIU),55900000000,,,,,('22. EIU),3.3
태국,35,2022,Thailand,TH,바트,283500000000,536100000000,"(2022, IMF 추정치)",2.6,"(2022, IMF 추정치)",7651,"(2022, IMF 추정치)",303600000000,6.1,"(2022, IMF)",,,"(2022, IMF 추정치)",1.0
인도,33,2022,India,IN,,291800000000,2950000000000,(2021. IMF),9.0,(2021. IMF),2120,(2021. IMF),394400000000,,,,"석유화학, 제악, 기계, 광산업, 보석가공, IT 산업, 통신, 섬유화학, 자동차, 인프라 건설업 등
- 산업구조 : 서비스업 53.9%, 제조업 25.9%, 농업 20.2%",,
헝가리,32,2022,Hungary,HU,"Forint(1불=339Ft, 2023.5월)",149600000000,195600000000,(2022),4.6,(2022),18980,(2022),158400000000,,,,,(2022),3.6
멕시코,28,2022,Mexico,MX,,578200000000,1414100000000,"(2022, IMF)",3,"(2022, IMF)",10867,"(2022, IMF)",640800000000,,,"원유, 은, 천연가스, 철광석, 커피",,,
캄보디아,23,2022,Cambodia,KH,리엘,23070000000,28500000000,"(2022, IMF 추정치)",5.0,"(2022, IMF 추정치)",1785,"(2022, IMF 추정치)",31850000000,5.3,"(2022, IMF 추정치)",,,,
필리핀,23,2022,Philippines,PH,"페소(1달러 = 54.5 페소, 2022년 평균, 세계은행)",81000000000,404300000000,"(2022, IMF)",7.6,"(2022, IMF)",3623,"(2022, IMF)",142700000000,5.8,"(2022, IMF)",,,"(2022, IMF)",5.4
폴란드,18,2022,Poland,PL,"즈워티(Złoty, PLN)",432440000000,688300000000,(2022. IMF),4.9,(2022. IMF),18280,(2022. IMF),419630000000,14.4,(2022. IMF),,"서비스업(55.6%), 제조업(41.1%), 농업(3.3%)",,
네덜란드,18,2022,Netherlands,NL,,919700000000,1018000000000,"(2021,IMF)",,,58292,"(2021,IMF)",855100000000,,,,,"(2021,IMF)",4.2
러시아,15,2022,Russia,RU,루블(Ruble) / (US $1≒80루블),472929000000,2215200000000,('22 IMF),-2.1,"('22, IMF)",15443,('22IMF),296164000000,13.7,"('22, IMF)","주요자원(’21, BP) : 석유(1,078억배럴, 6위), 가스(37.4조㎥, 1위), 석탄(1,621억톤, 2위), 금(7,500톤, 2위/USGS 기준), 우라늄(486천톤U, 4위/WNA 기준) 등",,"('22, IMF)",3.9
대만,14,2022,Taiwan,TW,,479500000000,780209000000,(2022),2.45,(2022),33565,(2022),427400000000,,,,,,
오만,10,2022,Oman,OM, Omani Riyal US 1$ = 0.385 RO(고정환율),66500000000,104900000000,"(‘23, IMF)",1.8,"(‘22, IMF 추정치)",21960,"(‘23, IMF)",38700000000,,,"'21, BP
- 원유(약54억 배럴), 천연가스(약7천억㎥) ",,,
스웨덴,8,2022,Sweden,SE,크로나(SEK),189700000000,627400000000,"(명목, 2021, WB)",5.7,"(2021, WB)",60028,"(2021, WB)",186600000000,,,,,"(2021, WB)",8.8
미얀마,8,2022,Myanmar,MM,짜트,20410000000,56800000000,"(2022, IMF 추정치)",1.9,"(2022, IMF 추정치)",1053,"(2022, IMF 추정치)",18590000000,16.2,"(2022, IMF 추정치)",,,,
바레인,7,2022,Bahrain,BH,바레인 디나르(BHD)/1US$=0.38BHD(23’ EIU),29000000000,44900000000,(‘23. IMF),3.0,(‘23. IMF 예측지),28390,(‘23. IMF),21100000000,,,"원유(1.24억 배럴, ‘22, 미 국제무역청), 천연가스, 어류",,,
몰타,7,2022,Malta,MT,유로,3100000000,17400000000,"(2021, WB)",10.3,"(2021, WB)",33487,"(2021, WB)",6900000000,,,,,"(2021, WB)",3.5
아르메니아,6,2022,Armenia,AM,드람(Dram;AMD),3200000000,13900000000,"(2021,IMF)",5.5,"(2021,EIU)",4701,"(2021,IMF)",4778000000,,,"철, 구리, 몰리브덴, 납, 아연, 금, 은 등",,,
이라크,6,2022,Iraq,IQ,"Iraqi Dinar(ID)(1$=1,460 ID)",80600000000,209500000000,('21 IMF),5.9,"('21, IMF)",5090,('21 IMF),41000000000,,,,,,
카메룬,5,2022,Cameroon,CM,CFA Franc(1€=655.96/고정환율),7580000000,45300000000,('21 World Bank),3.6,"('21, World Bank)",1666,('21 World Bank),9230000000,,,,,,
몽골,5,2022,Mongolia,MN,"Tugrik(1US$=2,877Tg,2020.8월)",7580000000,13260000000,(몽골 통계청),6.6,,4167,,5290000000,2.3,,"구리, 석탄, 형석, 동, 몰리브덴, 텅스텐, 아연, 금, 석유 등
- 세계 10대 자원부국","서비스업(20.4%), 건축 및 제조업(34%), 농축 산업(10.7%), 기타(34.9%)",,
파나마,5,2022,Panama,PA,,4662000000,71900000000,"(2022, IMF)",10,"(2022, IMF)",16373,"(2022, IMF)",16350000000,,,,,"(2022, IMF)",9.9
프랑스,5,2022,France,FR,,585000000000,2935500000000,"(2021, IMF)",,,44852,"(2021, IMF)",714300000000,,,,,"(2021, IMF)",7.85
방글라데시,4,2022,Bangladesh,BD,,44390000000,355600000000,2021. World Bank,4.6,2021. World Bank,2140,2021. World Bank,71020000000,,,,"의류, 가죽, 제지, 황마 등",,
스페인,4,2022,Spain,ES,,418400000000,1399300000000,"(2022, IMF)",5.5,(스페인통계청),29198,"(2022, IMF)",493400000000,,,,,(스페인통계청),13
카자흐스탄,3,2022,Kazakhstan,KZ,텡게(Tenge) / (US $1≒460.8텡게) ('22),84840000000,197110000000,"('21,WB)",4.1,"('21,통계청)",10374,"('21,통계청)",49770000000,20.3,"('22,통계청)","* 주요자원(’21 BP 및 ‘18 USGS, Kazakh Invest)
 - 원유·가스(확인매장량, 세계순위) : 원유(300억배럴, 12위),   
   가스(2.3조㎥, 16위)
  - 광물부존현황(세계순위) : 우라늄(2위), 아연(6위),
    석탄(8위), 구리(10위), 철광석(11위) 등",,,
우간다,3,2022,Uganda,UG,"Uganda Shilling(US1$=3,707UGX, '23.8 기준)",3880000000,45560000000,"('22, World Bank 추계)",4.7,"('22, World Bank 추계)",964,"('22, World Bank 추계)",10240000000,,,,,,
아일랜드,3,2022,Ireland,IE,,109000000000,504100000,"(2021, WB)",13.6,"(2021, WB)",100172,"(2021, WB)",119000000000,,,,,"(2021, WB)",6.6
슬로바키아,3,2022,Slovakia,SK,유로,107800000000,115600000000,"(2022, IMF)",1.7,"(2022, IMF)",21260,"(2022, IMF)",112500000000,12.1,"(2022, IMF)",,,,
브라질,3,2022,Brazil,BR,,334100000000,1874700000000,(2022),2.9,(2022),8917,(2022),272600000000,5.79,(2022),,,(2022),9.3
라오스,3,2022,Laos,LA,,9510000000,15300000000,"(2022, IMF 추정치)",2.3,"(2022, IMF 추정치)",2047,"(2022, IMF 추정치)",8790000000,23,"(2022, IMF 추정치)",,,"(2020, WorldBank)",1.0
페루,2,2022,Peru,PE,,63200000000,242400000000,"(2022, IMF)",2.7,"(2022, IMF)",7090,"(2022, IMF)",60300000000,,,,,,
키르기스스탄,2,2022,Kyrgyz,KG,솜(Som) / (US $1=86.2솜)(‘23.2월),2731000000,7700000000,(‘21 EIU 기준),3.6,"(‘21, EIU )",1282,(‘21 IMF),5111000000,11.9,"(‘21, EIU)","- 금, 석탄, 안티몬, 수은, 천연가스 등",,,
사우디아라비아,2,2022,Saudi Arabia,SA,The Saudi Riyal(SAR) / 1US$=3.75SAR(고정환율),405100000000,1006000000000,"('23, IMF)",1.9,"(‘23, IMF 예상치)",29920,"('23, IMF)",175100000000,,,"- 원유 매장량 : 2,671억 배럴(세계 2위, 점유율 : 17.2%)
- 천연가스 매장량 : 9.5조㎥(세계 8위, 점유율 : 3.2%)",,,
체코,2,2022,Czech,CZ,,241500000000,290400000000,(명목 2022),1.9,(실질 2022),27613,(명목 2022),236300000000,,,,,(2022),2.5
콩고민주공화국,2,2022,Democratic Republic of Congo,CD,"Congolese Franc(US$1 = FC 2,200, ‘23.3)",27300000000,63900000000,"('22, IMF)",8.5,"('22, IMF)",660,"('22, IMF)",14900000000,13.1,"'22,IMF",,,,
이탈리아,2,2022,Italia,IT,,610300000000,2106300000000,"(2021, IMF)",5.8,"(2021, IMF)",43889,"(2021, IMF)",550600000000,,,,,"(2021, IMF)",10.3
핀란드,2,2022,Finland,FI,유로(EURO),81800000000,298800000000,"(2021, IMF)",,,54008,"(2021, IMF)",85700000000,,,,,"(2021, IMF)",7.6
라트비아,1,2022,Latvia,LV,EURO(2014.01.01. 유로존 가입),20900000000,39800000000,"(2021, WB)",4.1,"(2021, WB)",21148,"(2021, WB)",24300000000,,,,"- 산업구조 : 농업 4.8%, 제조업 24.8% 서비스업 70.4%
- 대표산업 : 목재가공업, 식품가공업, 광업, 전자제품제조업","(2022, 라트비아통계청)",6.9
콜롬비아,1,2022,Colombia,CO,,57100000000,343900000000,"(2022, IMF)",7.5,"(2022, IMF)",6664,"(2022, IMF)",76900000000,10,"(2022, IMF)",,,"(2022, IMF)",11
루마니아,1,2022,Romania,RO,레우(Leu) (Ron으로 표기/복수형 Lei),128150000000,299900000000,"(2022, IMF)",4.8,"(2022, IMF)",15619,"(2022, IMF)",148950000000,13.8,"(2022, IMF)",,,"(2022, IMF)",5.6
투르크메니스탄,1,2022,Turkmenistan,TM,마나트(Manat) (1$=3.5 마나트 / 고정환율제),8699000000,99400000000,"('21, EIU)",3.5,"('21, EIU)",10310,"('21, IMF)",3933000000,,,"* ('21, BP)
 - 석유(매장량 6억배럴)
 - 천연가스(매장량 13.6조㎥)
 - 유황, 요오드",,,
동티모르,1,2022,Timor-Leste,TL,미국 달러,322000000,3700000000,"(2022, IMF 추정치)",3.3,"(2022, IMF 추정치)",2672,"(2022, IMF 추정치)",1427000000,7.0,"(2022, IMF 추정치)",,,,
마다가스카르,1,2022,Madagascar,MG,"AR(Ariary) / US$1=4,465 AR('23.6월)",1900000000,14500000000,('21 World Bank),4.4,"('21, World Bank)",500,('21 World Bank),2900000000,,,,"바닐라(세계 제1 생산국), 커피, 설탕, 크롬",,
나이지리아,1,2022,Nigeria,NG,"Naira(US$1=411.57NGN, '22.10월 기준)",57278000000,477400000000,('22 World Bank),3.3,"('22, World Bank)",2184,('22 World Bank),56283000000,,,"원유, 가스('19)
석유매장량 : 370억 배럴(일산 120만 배럴, '21년)
가스매장량: 208조 입방미터",,,
엘살바도르,1,2022,El Salvador,SV,,7100000000,31600000000,"(2022, IMF)",2.8,"(2022, IMF)",4987,"(2022, IMF)",17100000000,7,"(2022, IMF)",,,,
몰디브,1,2022,Maldives,MV,"Maldivian Rufiyaa (1$ : 15.3루피, 2021)",250000000,5400000000,(2021),,,10366,(2021),1700000000,,,,"관광업이 GDP의 26%, 건설, 교통, 부동산, 통신, 어업",,
케냐,1,2022,Kenya,KE,Kenya Shilling(U$1=120Ksh)(‘22.9.1.),6125000000,110000000000,('21 World Bank),7.2,"('21, World Bank)",2200,('21 World Bank),16840000000,,,"무연탄, 형석, 소금, 석회석","서비스업(64.6%), 농업(25%), 제조업(11%)",,
모로코,1,2022,Morocco,MA,"Morocco Dirham(MAD)/ 1US≒10.14 MAD(‘23, EIU)",37200000000,138800000000,"(‘23, IMF)",3,"(‘23, IMF)",3750,"(‘23, IMF)",62400000000,,,"인광석(세계3위 생산국), 철, 망간, 구리",,,
에콰도르,1,2022,Ecuador,EC,,38000000000,116400000000,(2022),1.4,(2023.1월),6462,(2022),37000000000,,,,,(2021),4.4
브루나이,1,2022,Brunei,BN,"브루나이달러(1미국달러 = 1.38 브루나이달러, 2022년 평균, 세계은행)",14400000000,16600000000,"(2022, IMF 추정치)",-1.5,"(2022, IMF 추정치)",37667,"(2022, IMF 추정치)",12600000000,1.7,"(2022, IMF 추정치)",,,"(2022, IMF 추정치)",6.8
세네갈,1,2022,Senegal,SN,CFA Franc / US$1 = CFA 611.38('23.2월),5130000000,27680000000,('22 World Bank),4.2,"('22, World Bank)",1599,('22 World Bank),9710000000,,,"인산염(10대 생산국), 철광석",,,
스리랑카,1,2022,Sri Lanka,LK,루피,13100000000,77100000000,('22.),-7.8,('22.),3474,('22.),18200000000,59.2,(2022),,,(2022),4.7
스위스,1,2022,Swiss,CH,,424100000000,780900000000,(명목 2022 EIU),2,"(2022, EIU)",83303,(PPP기준 2022 EIU),357500000000,2.8,"(2022, EIU)",,"금융, 기계, 화학, 제약, 보험, 관광","(2022, EIU)",2.2
이집트,1,2022,Egypt,EG,,28600000000,404100000000,(FY 2020/21),3.3,(FY 2020/21),3982,(FY 2020/21),70700000000,,,,,,7.2
과테말라,1,2022,Guatemala,GT,,15700000000,93600000000,"(2022, IMF)",4,,5004,"(2022, IMF)",32100000000,6.8,,,,,
아제르바이잔,1,2022,Azerbaijan,AZ,마나트(Manat),2169200000,54610000000,"(2021,IMF)",5.6,"(2021,EIU)",5397,"(2021,IMF)",1041900000,,,"석유, 천연가스, 철광석, 구리, 금",석유화학공업,,
알제리,1,2022,Algeria,DZ,"알제리 디나르(DZD) / 1US$=136 DZD(‘23, EIU)",47600000000,206000000000,"(‘23, IMF)",2.6,"(‘23, IMF)",4480,"(‘23, IMF)",37400000000,,,"‘22, OPEC
- 원유 : 122억 배럴(세계 16위, 점유율 1.0%)
- 천연가스 : 4조 5,040억 ㎥(세계 11위, 점유율 2.2%)
- 수은(세계4위), 중정석(세계5위), 인광석(세계8위) 등",,,
가나,1,2022,Ghana,GH,Ghanaian Cedi ※ US $1 = 6.0 GH₵ ('21),15300000000,75490000000,('21 IMF),4.7,"('21, IMF)",2410,('21 IMF),13000000000,,,,"서비스업 51.9%, 제조업 26.7%, 농업 21.3%('21)",,
